title,description
"I Declare A Thumb War!",Verse a non player in a thumb war!\nAnyone can win.\n\nFilm your battle if possible! (The Summer Clause: You gain a bonus band if you arm wrestle a cop)
"Spotto!",It's spotto time!\nTake photos of 5 yellow items of clothing.
"Moto-Selfie",Take a selfie with a motorcycle or moped.
"Statue Selfie!",Take a selfie with a statue while posing like the statue.
"60-Second Laugh...",You must laugh continuously for 60 seconds out loud. You receive an extra band for every non-player that starts laughing.
"Nutbush Dance-Off!",Do the nutbush for 1 minute. You receive 1 bonus band for every non-player that joins.
"Staring Contest",Challenge a non player to a staring contest. Anyone can win.
"It's Time For Show and Tell!",Time for show and tell...it's been a while right?\nFind a non-player and do a show and tell of something you're carrying with you right now.
"Signature Handshake",Make a handshake up with a team mate that has at least 6 steps. Film it. Each player gets a band.
"Dap Clap Capture",Dap up a non player.\n\nYou must film the dap (with their permission of course) to receive a band.
"Straw Rush",Collect drinking straws from different locations. You have 3 minutes from now to find the first straw.\n\nThe timer resets to 3 minutes every time you find another straw.\n\nThe challenge is over when your timer ends. The challenge is vetoed if you find no straws.\n\nYou receive 1 band per straw.\n\nYour time starts now!
"Napkin Rush",Collect napkins from different locations. You have 2 minutes from now to find the first napkin.\n\nThe timer resets to 2 minutes every time you find another napkin.\n\nThe challenge is over when your timer ends. The challenge is vetoed if you find no napkins.\n\nYou receive 1 band per napkin.\n\nYour time starts now!
"Pet That Dawg?!","Ask a non-player: \n ""Can I pet that dawg?""\n\nYou must film yourself only - not them."
"Where's The Fire?!",Take a photo of a fire hose. It must be of the hose itself and not just the signage for it.
"I'm Telling You Man... Every Third Blink Is Slower...",Walk to the nearest traffic light. Do star jumps for a full cycle of the traffic lights - until every light has been red at least once.
"Photo With The Fuzz",Take a selfie with a Police Officer / Security Guard / Mall Cop. They must consent of course.
"Bird Selfie",You get 1 attempt to take a selfie. You receive 1 band for each bird visible in the photo.\n\nThe challenge is vetoed if you fail to get a single bird in the photo.\n\nYou have 3 minutes. Your time starts now.
"Street Performer","Perform a dramatic reading of a food menu /sign or public notice for 30 seconds."
"High Five!","Collect 2 high-fives from 2 different non-players. You receive one band."
"Spot The Year","Find the oldest year written on a plaque/building/sign/monument. Take a photo."
"Human Compass","Ask a non-player to point north without using their phone. You get one band regardless of if they're correct."
"Shadow Hunters","Capture a photo containing shadows from at least 3 different objects."
"Public Wi-Fi Quest","Find a venue advertising free Wi-Fi. Take a photo of the advertisement."
"Pop Quiz!","Name 20 countries. Film the attempt."
"Bench Olympics","Perform 20 step-ups using a public bench or low ledge. Film the attempt. You have 30 seconds. Your time starts now."
"The Local Expert","Ask a non-player for directions to somewhere within eyeshot."
"One-Leg Wonder","Stand on one leg for 30 seconds. A teammate must provide dramatic sports commentary and film it."
"Impatient and Oblivious","Go to a set of traffic lights and start pushing the button for the pedestrian crossing. Keep going even after the green man appears/ until it has become red again."
"Twinning!","Find an object that matches a teammate's shirt's colour. Photograph them together."
"Window Shopper","Find something in a shop window for sale that's worth at least $1000. Photograph it."
"The Human Letter","Use a teammate or teammates to form an uppercase version of the first letter of your team colour. Everyone who participates gets a band."
"Landmark Salesperson","Give a 20-second sales pitch for a nearby building or statue. Film it."
"Synthetic Shadow Selfie","Take a selfie with only your shadow in it. The shadow must be cast by artificial light."
"Invisible Pet","Walk an invisible pet for 20 seconds. The more dramatic the better. Film your adventure."
"The Great Sync","Walk in perfect step with teammates for 50 steps. Each participant gets a band."
"The Expert","Speak confidently about something you know almost nothing about for 60 seconds. Film your rambling."
"The Great Discovery Channel","Give a 60 second narration on an everyday object as if it was just discovered by scientists. Film your discovery."
"Speed Puzzle","Use objects nearby to create a smiley face in under 60 seconds. Your time starts now!"
"Heads Up","Balance an object on your head while walking 20 metres. Film from a selfie perspective as you walk."
"Boss Battle","Race teammate to the end of the block."
"One Breath Story","Tell a complete story using only a single breath. Film your story."
"The 'Um' challenge","Speak for 1 minute on any topic without saying 'um' or 'ah' or any of the like. Film your attempt."
"Leaf Collector","Find and photograph a leaf that's still attached to a tree that is not green."
"ATM Hunter","Find an ATM and take a selfie with it."
"Busker Hunter","Take a video of a street performer in action."
"Graffiti Detective","Make a 60 second video attempting to decipher some graffiti."
"David Urbanborough","Film a 30 second David Attenborough style commentary video for any inanimate object that is moving such as a car/tram/etc."
"The Great Debate","Debate with a non-player or a teammate whether a hotdog is a sandwich. Film it for 60 seconds if possible. Each player gets a band."
"Hydrant Hero","Make your way to the nearest fire hydrant and take a selfie with it."
"Platform Pursuit","Make your way to a railway station and take a photo with the station sign visible."
"Cheapskate","Find the most expensive item on a menu. Take a photo of your finger pointing to it."
"Alphabet Soup","Recite the alphabet backwards and film it"
