title,description
"Arm Wrestle!",Verse a non player in an Arm Wrestle. Anyone can win.\n\nFilm it if they consent.(The Summer Clause: You gain a bonus band if you arm wrestle a cop)
"Honk Hunt",Get any vehicle to honk their horn.
"Hickery Dickery Dock","Find the closest analogue clock and sing the nursery rhyme ""Hickery Dickery Dock"".\n\nYou must record video evidence to claim your band.\n\nThe lyrics are as follows:\n\nHickory dickory dock\nThe sheep hid from its flock\nThe flock called once\nThe sheep did run\nHickory dickory dock\nHickory dickory dock\nThe sheep hid from its flock\nThe flock called twice\nAnd that was nice!\nHickory dickory dock\nHickory dickory dock\nThe sheep hid from its flock\nThe flock called thrice\nAnd that was wise\nHickory dickory dock"
"Business Card Rush",Collect business cards from different locations or people. You have 5 minutes from now to find the first card.\n\nThe timer resets to 5 minutes every time you find another card.\n\nThe challenge is over when your timer ends. The challenge is vetoed if you find no cards.\n\nYou receive 1 band per card.\n\nYour time starts now!
"Instant Veto!",UH OH!\n\nThis challenge is an instant veto. You must wait 8 minutes before scanning or participating in a challenge.\n\nSometimes that's the risk you take…
"Do You Know The Muffin Man?","You must call out ""Do yOu kNoW tHe MuFfIn MaN?"".\n\nYou must get a non-player to respond with one of the following:\n- ""Who lives on Drury Lane?""\n- ""The muffin man?""\n\nPlease film only yourself while you attempt this challenge."
"Loop de Loop",Take any form of public transport at least for one stop. Return to the node location you're currently at.\n\nYou may only receive your band when you return to this location.
"Photo Recreation?",Find at least 2 teammates (3 people total) and recreate this photo.\n\nEach participating player receives a band.
"Leap Frog Relay!",Find at least 2 teammates to play leap frog.\n\nEveryone must leap over each other at least twice. Provide video evidence.\n\nAll participating players receive a band.
"Crab Walk!",Crab walk to the nearest bench including crab hands. Provide video footage.\n\nYou don't need to do crab hands with the hand you use to film yourself.
"Time For A Fit Check",Find the nearest clothing store that is having a sale. You have 6 minutes from when you enter the store to put an outfit together and model it.\n\nYou do not need to purchase it. Make a short video advertising your get up.
"Human Pyramid!",Find at least 2 teammates and make a human pyramid.\n\nEach participant gets a band.\n\nYou must film your attempt.
"Dizzy Dash",Spin around as fast as you can for 20 seconds and then run to the nearest street pole that's at least 10m away and back.\n\nYou must film your attempt from your POV.
"Wake Up Jeff!",You may NOT read this challenge aloud. You may NOT tell anyone you have pulled this challenge!\n\nPretend to be sleeping. This can be done in any position that is safe and comfortable. A teammate must physically touch you to wake you up without being prompted by you.\n\nEach player involved gets a band.
"Lonely Statue",Pick a location and stand like a statue with your hand out waiting for a high-five.\n\nYou may not use your phone for anything other than a timer during this challenge.\n\nYou must stand in that position for 8 minutes. You may take a band and stop standing in that position only if a non-player high-fives you.\n\nYou do NOT have to wait another 8 minutes as a veto period if you don't get a high-five. You have already served the veto period. And you got rejected by everyone around you... Ouch...\n\nYour time starts now!
"Spelling Bee Shootout",Find 2 teammates for a Spelling Bee Shootout.\n\nEach teammate may attempt each word once. You may Google a word if you don't know it. You may use it in a sentence if the contestants request it.\n\nBetween the two of them they must correctly spell 3 of these 5 words exactly as they are spelled here:\nAccommodate\nTheir\nMourning\nMussel\nLeisure.\n\nAll participating players get a band if they succeed. The challenge is vetoed if they fail.
