title	description
Tattoo Interview	Interview someone with tattoos. Ask them at least 3 of the following questions:\nWhat's the meaning of one of your tattoos?\nWhere are you from?\nWhat was your first tattoo?\nWhy did you get it?\nIf you could remove a tattoo which one would it be and why?\n\nYou may film if you choose to and only if the interviewee consents.
Feel The Burn!	Hold either:\n- A Plank (straight back while resting only on your forearms and toes)\nor\n- A Squat (fully seated position with your hands out in front of you).\n\nChoose your poison and hold it for 90 seconds to complete the challenge.\n\nYou may attempt only once and you must film this attempt.
Pet Interview	Interview a person with a pet. Ask them the following questions:\n What is the owner's name?\nWhat is the pet's name?\nWhat breed is the pet?\nHow long have they had the pet for?\nWhat's the most expensive/annoying thing the pet has ever done?\n\nYou may film if you choose to and only if the interviewee consents.
Run Monkey Run!	Go to the nearest park or grassy area. Do a 'monkey run' (running on all fours) for 30 seconds.\n\nYou must provide video evidence.
I Want It That Way	"Sing aloud the first verse and chorus of ""I Want It That Way"" by The Backstreet Boys.\nMultiple players from your team may attept this challenge together. Each participating player gets a band.\n\nYou must film your attempt.\n\nFor the uninitiated... here are the lyrics:\n\nYou are my fire\nThe one desire\nBelieve when I say\nI want it that way\nTell me why\nAin't nothin' but a heartache\nTell me why\nAin't nothing but a mistake\nTell me why\nI never wanna hear you say\nI want it that way\n"
Seriously? I Know…	Call any non-player and hold a phone call for 60 seconds using only the words 'Seriously' and 'I know'.\n\nIf they don't pick up on the first attempt or if they hang up within 60 seconds it's an instant veto.\n\nYou get one attempt.
Kanga-Race	Verse a non-player in a kangaroo race.\n\nYou must both jump like a kangaroo past two stores or buildings. You start at the beginning of the first store/building and finish at the end of the second.\n\nYou must film your attempt only if your opponent consents.
Look! It's A Rainbow!	Create a rainbow with the following colours:\n\nRed\nYellow\nPink\nGreen\nOrange\nPurple\nBlue\n\n You may only use natural organic items around you to construct your rainbow.\n\nYou must take a photo of your masterpiece.
Cartwheel Craziness	Both you and a willing non-player must attempt a cartwheel.\n\nYou do not have to do a good cartwheel but it must be a genuine attempt.\n\nFilm your attempt only if the other person consents.
Months Alphabet Race	Race a non-player to say the months of the year in alphabetical order. You do not have to win.\n\nNo practice beforehand - not even sneaky mental practice!\n\nFilm your attempt only if they consent.
Bird Hunt!	You must take a photo of 5 different species of bird.\n\nYou have 10 minutes. Your time starts now!
Fast Facts Quiz	Ask a non-player to play fast facts with you. Film their attempt only if they consent. \n\nYou must ask them the 10 questions listed below:\n\nWhat colours are in the Australian flag?   (Ans: Blue + Red + White)\n\nHow many stars are in the southern cross?   (Ans: 5)\n\nWhat 2 Aussie animals can be found on the Australian coat of arms?   ( Ans: Kangaroo & Emu)\n\nWhat does CD stand for in terms of data storage?   ( Ans: Compact Disc)\n\nWhat is the tallest building in Sydney CBD?   ( Ans: Either the Crown Tower or Centrepoint Tower) \n\nName the 2 main bridges that allow traffic in and out of Sydney CBD.   ( Ans: ANZAC Bridge + Sydney Harbour Bridge)\n\nWhich body part has more bones - hands or feet?   ( Ans: Hands) \n\nWhat is a human's largest organ?   ( Ans: Skin )\n\nWhich one is not like the other?\n- Wallabie\n- Koala\n- Joey\n- Alligator\n- Jabiru.   ( Ans: Alligator – it doesn’t live in Australia.)\n\nIn what state of Australia will you find the worlds happiest animal - the Quoka?   ( Ans: WA)\n\n\nYou may take one band once you've completed this game with the non-player.
Instant Veto	UH OH!\n\nThis challenge is an instant veto. You must wait 8 minutes before scanning or participating in a challenge.\n\nSometimes that's the risk you take…
Instant Veto	UH OH!\n\nThis challenge is an instant veto. You must wait 8 minutes before scanning or participating in a challenge.\n\nSometimes that's the risk you take…
